,gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,like,decision,match
32,female,23.0,22.0,European,Asian,0,1.0,1.0,Law,20.0,20.0,20.0,20.0,10.0,10.0,4.0,7.0,8.0,8.0,6.0,7.0,4.0,0,0
33,female,23.0,23.0,European,European,1,1.0,1.0,Law,20.0,20.0,20.0,20.0,10.0,10.0,8.0,10.0,7.0,10.0,7.0,10.0,8.0,1,1
34,female,23.0,24.0,European,Latino,0,1.0,1.0,Law,20.0,20.0,20.0,20.0,10.0,10.0,6.0,9.0,8.0,9.0,8.0,9.0,7.0,0,0
35,female,23.0,25.0,European,European,1,1.0,1.0,Law,20.0,20.0,20.0,20.0,10.0,10.0,5.0,10.0,8.0,4.0,8.0,2.0,4.0,0,0
36,female,23.0,30.0,European,European,1,1.0,1.0,Law,20.0,20.0,20.0,20.0,10.0,10.0,7.0,10.0,10.0,7.0,10.0,5.0,5.0,0,0
37,female,23.0,27.0,European,European,1,1.0,1.0,Law,20.0,20.0,20.0,20.0,10.0,10.0,5.0,9.0,9.0,5.0,9.0,7.0,6.0,0,0
38,female,23.0,28.0,European,European,1,1.0,1.0,Law,20.0,20.0,20.0,20.0,10.0,10.0,9.0,8.0,10.0,10.0,7.0,8.0,8.0,1,1
39,female,23.0,24.0,European,European,1,1.0,1.0,Law,20.0,20.0,20.0,20.0,10.0,10.0,8.0,9.0,10.0,10.0,8.0,8.0,10.0,1,0
40,female,21.0,27.0,European,European,1,8.0,1.0,Law,20.0,5.0,25.0,25.0,10.0,15.0,5.0,8.0,8.0,2.0,2.0,2.0,7.0,0,0
41,female,21.0,22.0,European,European,1,8.0,1.0,Law,20.0,5.0,25.0,25.0,10.0,15.0,8.0,6.0,6.0,5.0,5.0,5.0,6.0,0,0
42,female,21.0,22.0,European,Asian,0,8.0,1.0,Law,20.0,5.0,25.0,25.0,10.0,15.0,4.0,6.0,8.0,8.0,6.0,5.0,6.0,0,0
43,female,21.0,23.0,European,European,1,8.0,1.0,Law,20.0,5.0,25.0,25.0,10.0,15.0,8.0,5.0,5.0,7.0,7.0,9.0,8.0,1,1
44,female,21.0,24.0,European,Latino,0,8.0,1.0,Law,20.0,5.0,25.0,25.0,10.0,15.0,6.0,7.0,7.0,5.0,4.0,8.0,7.0,0,0
45,female,21.0,25.0,European,European,1,8.0,1.0,Law,20.0,5.0,25.0,25.0,10.0,15.0,5.0,6.0,7.0,5.0,7.0,8.0,7.0,1,0
46,female,21.0,30.0,European,European,1,8.0,1.0,Law,20.0,5.0,25.0,25.0,10.0,15.0,6.0,6.0,8.0,5.0,5.0,6.0,6.0,1,0
47,female,21.0,27.0,European,European,1,8.0,1.0,Law,20.0,5.0,25.0,25.0,10.0,15.0,5.0,5.0,7.0,6.0,7.0,5.0,6.0,1,0
48,female,21.0,28.0,European,European,1,8.0,1.0,Law,20.0,5.0,25.0,25.0,10.0,15.0,7.0,5.0,7.0,8.0,7.0,9.0,9.0,1,1
49,female,21.0,24.0,European,European,1,8.0,1.0,Law,20.0,5.0,25.0,25.0,10.0,15.0,9.0,6.0,7.0,9.0,6.0,5.0,10.0,1,0
50,female,23.0,27.0,Asian,European,0,1.0,1.0,law,10.0,25.0,20.0,25.0,5.0,15.0,6.0,9.0,7.0,6.0,7.0,6.0,6.0,1,0
51,female,23.0,22.0,Asian,European,0,1.0,1.0,law,10.0,25.0,20.0,25.0,5.0,15.0,6.0,9.0,9.0,6.0,8.0,2.0,7.0,1,0
52,female,23.0,22.0,Asian,Asian,1,1.0,1.0,law,10.0,25.0,20.0,25.0,5.0,15.0,4.0,7.0,9.0,4.0,3.0,2.0,6.0,0,0
53,female,23.0,23.0,Asian,European,0,1.0,1.0,law,10.0,25.0,20.0,25.0,5.0,15.0,8.0,6.0,7.0,8.0,2.0,8.0,9.0,1,1
54,female,23.0,24.0,Asian,Latino,0,1.0,1.0,law,10.0,25.0,20.0,25.0,5.0,15.0,5.0,4.0,8.0,8.0,4.0,2.0,4.0,0,0
55,female,23.0,25.0,Asian,European,0,1.0,1.0,law,10.0,25.0,20.0,25.0,5.0,15.0,3.0,7.0,6.0,1.0,1.0,1.0,2.0,0,0
56,female,23.0,30.0,Asian,European,0,1.0,1.0,law,10.0,25.0,20.0,25.0,5.0,15.0,8.0,8.0,8.0,8.0,3.0,4.0,8.0,1,0
57,female,23.0,27.0,Asian,European,0,1.0,1.0,law,10.0,25.0,20.0,25.0,5.0,15.0,4.0,8.0,9.0,2.0,8.0,3.0,5.0,0,0
58,female,23.0,28.0,Asian,European,0,1.0,1.0,law,10.0,25.0,20.0,25.0,5.0,15.0,7.0,6.0,8.0,8.0,6.0,9.0,9.0,1,1
59,female,23.0,24.0,Asian,European,0,1.0,1.0,law,10.0,25.0,20.0,25.0,5.0,15.0,8.0,9.0,9.0,9.0,10.0,7.0,9.0,1,0
60,female,22.0,27.0,Asian,European,0,2.0,4.0,Law,15.0,15.0,25.0,20.0,15.0,10.0,4.0,8.0,8.0,5.0,7.0,4.0,7.0,0,0
61,female,22.0,22.0,Asian,European,0,2.0,4.0,Law,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,8.0,4.0,9.0,4.0,7.0,0,0
62,female,22.0,22.0,Asian,Asian,1,2.0,4.0,Law,15.0,15.0,25.0,20.0,15.0,10.0,3.0,6.0,8.0,7.0,8.0,8.0,7.0,0,0
63,female,22.0,23.0,Asian,European,0,2.0,4.0,Law,15.0,15.0,25.0,20.0,15.0,10.0,7.0,8.0,8.0,7.0,7.0,6.0,8.0,1,1
64,female,22.0,24.0,Asian,Latino,0,2.0,4.0,Law,15.0,15.0,25.0,20.0,15.0,10.0,4.0,7.0,7.0,4.0,8.0,5.0,5.0,0,0
65,female,22.0,25.0,Asian,European,0,2.0,4.0,Law,15.0,15.0,25.0,20.0,15.0,10.0,4.0,8.0,7.0,4.0,5.0,4.0,5.0,0,0
66,female,22.0,30.0,Asian,European,0,2.0,4.0,Law,15.0,15.0,25.0,20.0,15.0,10.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,1,0
67,female,22.0,27.0,Asian,European,0,2.0,4.0,Law,15.0,15.0,25.0,20.0,15.0,10.0,5.0,7.0,8.0,5.0,9.0,5.0,5.0,0,0
68,female,22.0,28.0,Asian,European,0,2.0,4.0,Law,15.0,15.0,25.0,20.0,15.0,10.0,6.0,6.0,8.0,8.0,8.0,6.0,6.0,1,1
69,female,22.0,24.0,Asian,European,0,2.0,4.0,Law,15.0,15.0,25.0,20.0,15.0,10.0,8.0,6.0,7.0,7.0,8.0,6.0,7.0,1,0
70,female,25.0,27.0,European,European,1,1.0,1.0,Masters in Public Administration,9.09,18.18,27.27,18.18,18.18,9.09,5.0,8.0,7.0,4.0,7.0,5.0,4.0,1,0
71,female,25.0,22.0,European,European,1,1.0,1.0,Masters in Public Administration,9.09,18.18,27.27,18.18,18.18,9.09,8.0,7.0,7.0,9.0,6.0,7.0,8.0,1,1
72,female,25.0,22.0,European,Asian,0,1.0,1.0,Masters in Public Administration,9.09,18.18,27.27,18.18,18.18,9.09,5.0,8.0,8.0,6.0,7.0,7.0,5.0,1,1
73,female,25.0,23.0,European,European,1,1.0,1.0,Masters in Public Administration,9.09,18.18,27.27,18.18,18.18,9.09,8.0,6.0,5.0,6.0,6.0,5.0,5.0,1,1
75,female,25.0,25.0,European,European,1,1.0,1.0,Masters in Public Administration,9.09,18.18,27.27,18.18,18.18,9.09,6.0,8.0,8.0,5.0,6.0,7.0,6.0,1,1
76,female,25.0,30.0,European,European,1,1.0,1.0,Masters in Public Administration,9.09,18.18,27.27,18.18,18.18,9.09,6.0,7.0,8.0,5.0,7.0,7.0,6.0,1,0
77,female,25.0,27.0,European,European,1,1.0,1.0,Masters in Public Administration,9.09,18.18,27.27,18.18,18.18,9.09,5.0,6.0,7.0,4.0,5.0,6.0,5.0,1,1
78,female,25.0,28.0,European,European,1,1.0,1.0,Masters in Public Administration,9.09,18.18,27.27,18.18,18.18,9.09,8.0,8.0,5.0,9.0,8.0,9.0,7.0,1,1
79,female,25.0,24.0,European,European,1,1.0,1.0,Masters in Public Administration,9.09,18.18,27.27,18.18,18.18,9.09,7.0,6.0,8.0,7.0,9.0,8.0,8.0,1,1
80,female,26.0,27.0,Other,European,0,1.0,1.0,Masters in Public Administration,20.0,10.0,20.0,30.0,10.0,10.0,8.0,10.0,9.0,8.0,7.0,6.0,5.0,1,0
81,female,26.0,22.0,Other,European,0,1.0,1.0,Masters in Public Administration,20.0,10.0,20.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1
82,female,26.0,22.0,Other,Asian,0,1.0,1.0,Masters in Public Administration,20.0,10.0,20.0,30.0,10.0,10.0,5.0,10.0,10.0,6.0,6.0,6.0,8.0,1,1
83,female,26.0,23.0,Other,European,0,1.0,1.0,Masters in Public Administration,20.0,10.0,20.0,30.0,10.0,10.0,10.0,9.0,8.0,8.0,7.0,7.0,7.0,1,1
84,female,26.0,24.0,Other,Latino,0,1.0,1.0,Masters in Public Administration,20.0,10.0,20.0,30.0,10.0,10.0,5.0,10.0,8.0,8.0,5.0,5.0,5.0,1,1
85,female,26.0,25.0,Other,European,0,1.0,1.0,Masters in Public Administration,20.0,10.0,20.0,30.0,10.0,10.0,8.0,9.0,9.0,7.0,6.0,5.0,6.0,1,1
86,female,26.0,30.0,Other,European,0,1.0,1.0,Masters in Public Administration,20.0,10.0,20.0,30.0,10.0,10.0,6.0,8.0,9.0,6.0,6.0,6.0,7.0,1,1
87,female,26.0,27.0,Other,European,0,1.0,1.0,Masters in Public Administration,20.0,10.0,20.0,30.0,10.0,10.0,6.0,7.0,8.0,7.0,9.0,6.0,7.0,1,0
88,female,26.0,28.0,Other,European,0,1.0,1.0,Masters in Public Administration,20.0,10.0,20.0,30.0,10.0,10.0,8.0,5.0,5.0,6.0,5.0,5.0,7.0,1,1
89,female,26.0,24.0,Other,European,0,1.0,1.0,Masters in Public Administration,20.0,10.0,20.0,30.0,10.0,10.0,7.0,8.0,7.0,8.0,7.0,8.0,8.0,1,0
98,female,26.0,28.0,European,European,1,4.0,4.0,Masters of Social Work&Education,15.0,15.0,15.0,40.0,10.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1,1
99,female,26.0,24.0,European,European,1,4.0,4.0,Masters of Social Work&Education,15.0,15.0,15.0,40.0,10.0,5.0,9.0,9.0,8.0,10.0,8.0,8.0,9.0,1,0
100,male,27.0,21.0,European,Asian,0,7.0,3.0,Finance,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,8.0,6.0,7.0,0,0
101,male,27.0,24.0,European,European,1,7.0,3.0,Finance,35.0,20.0,20.0,20.0,0.0,5.0,8.0,7.0,6.0,9.0,7.0,4.0,7.0,0,0
102,male,27.0,25.0,European,European,1,7.0,3.0,Finance,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,6.0,5.0,8.0,4.0,5.0,0,0
103,male,27.0,23.0,European,European,1,7.0,3.0,Finance,35.0,20.0,20.0,20.0,0.0,5.0,6.0,7.0,8.0,7.0,7.0,5.0,6.0,0,0
104,male,27.0,21.0,European,European,1,7.0,3.0,Finance,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,8.0,8.0,7.0,6.0,6.0,0,0
105,male,27.0,23.0,European,Asian,0,7.0,3.0,Finance,35.0,20.0,20.0,20.0,0.0,5.0,7.0,9.0,8.0,9.0,8.0,4.0,7.0,0,0
106,male,27.0,22.0,European,Asian,0,7.0,3.0,Finance,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,8.0,8.0,7.0,7.0,7.0,0,0
107,male,27.0,25.0,European,European,1,7.0,3.0,Finance,35.0,20.0,20.0,20.0,0.0,5.0,8.0,7.0,6.0,6.0,6.0,5.0,7.0,0,0
108,male,27.0,26.0,European,Other,0,7.0,3.0,Finance,35.0,20.0,20.0,20.0,0.0,5.0,6.0,8.0,7.0,8.0,7.0,5.0,6.0,0,0
109,male,27.0,26.0,European,European,1,7.0,3.0,Finance,35.0,20.0,20.0,20.0,0.0,5.0,7.0,8.0,7.0,8.0,6.0,5.0,6.0,0,0
110,male,22.0,21.0,European,Asian,0,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,7.0,8.0,10.0,7.0,7.0,5.0,8.0,0,0
111,male,22.0,24.0,European,European,1,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,7.0,6.0,10.0,6.0,6.0,5.0,8.0,0,0
112,male,22.0,25.0,European,European,1,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,6.0,6.0,5.0,7.0,0,0
113,male,22.0,23.0,European,European,1,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,6.0,5.0,10.0,6.0,6.0,5.0,6.0,0,0
114,male,22.0,21.0,European,European,1,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,6.0,7.0,10.0,7.0,6.0,5.0,7.0,0,0
115,male,22.0,23.0,European,Asian,0,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,6.0,8.0,10.0,6.0,7.0,6.0,7.0,0,0
116,male,22.0,22.0,European,Asian,0,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,7.0,9.0,10.0,6.0,6.0,5.0,8.0,1,0
117,male,22.0,25.0,European,European,1,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,8.0,8.0,10.0,7.0,6.0,5.0,9.0,1,1
118,male,22.0,26.0,European,Other,0,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,8.0,8.0,10.0,7.0,6.0,5.0,8.0,1,1
119,male,22.0,26.0,European,European,1,1.0,1.0,Law,60.0,0.0,0.0,40.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0
120,male,22.0,21.0,Asian,Asian,1,3.0,5.0,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1
121,male,22.0,24.0,Asian,European,0,3.0,5.0,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0
122,male,22.0,25.0,Asian,European,0,3.0,5.0,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0
124,male,22.0,21.0,Asian,European,0,3.0,5.0,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0
125,male,22.0,23.0,Asian,Asian,1,3.0,5.0,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,0
127,male,22.0,25.0,Asian,European,0,3.0,5.0,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1
128,male,22.0,26.0,Asian,Other,0,3.0,5.0,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1
129,male,22.0,26.0,Asian,European,0,3.0,5.0,Law,19.0,18.0,19.0,18.0,14.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1
130,male,23.0,21.0,European,Asian,0,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8.0,9.0,8.0,9.0,8.0,7.0,1,1
131,male,23.0,24.0,European,European,1,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1,1
132,male,23.0,25.0,European,European,1,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,7.0,9.0,8.0,8.0,8.0,8.0,7.0,1,0
133,male,23.0,23.0,European,European,1,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,7.0,7.0,7.0,9.0,9.0,9.0,8.0,1,1
134,male,23.0,21.0,European,European,1,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,6.0,8.0,10.0,10.0,7.0,1,1
135,male,23.0,23.0,European,Asian,0,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,6.0,8.0,8.0,7.0,9.0,8.0,7.0,1,1
136,male,23.0,22.0,European,Asian,0,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,8.0,8.0,9.0,8.0,9.0,9.0,8.0,1,1
137,male,23.0,25.0,European,European,1,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,8.0,8.0,8.0,8.0,8.0,7.0,8.0,1,1
138,male,23.0,26.0,European,Other,0,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8.0,7.0,8.0,8.0,7.0,7.0,1,1
139,male,23.0,26.0,European,European,1,1.0,1.0,Law,30.0,5.0,15.0,40.0,5.0,5.0,7.0,8.0,7.0,9.0,8.0,8.0,7.0,1,0
140,male,24.0,21.0,Latino,Asian,0,3.0,1.0,Law,30.0,10.0,20.0,10.0,10.0,20.0,8.0,7.0,9.0,6.0,9.0,7.0,8.0,1,1
141,male,24.0,24.0,Latino,European,0,3.0,1.0,Law,30.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,7.0,8.0,10.0,1,0
143,male,24.0,23.0,Latino,European,0,3.0,1.0,Law,30.0,10.0,20.0,10.0,10.0,20.0,8.0,8.0,9.0,8.0,8.0,9.0,9.0,1,0
144,male,24.0,21.0,Latino,European,0,3.0,1.0,Law,30.0,10.0,20.0,10.0,10.0,20.0,5.0,9.0,9.0,7.0,9.0,5.0,5.0,0,0
145,male,24.0,23.0,Latino,Asian,0,3.0,1.0,Law,30.0,10.0,20.0,10.0,10.0,20.0,9.0,7.0,9.0,7.0,9.0,6.0,9.0,1,0
146,male,24.0,22.0,Latino,Asian,0,3.0,1.0,Law,30.0,10.0,20.0,10.0,10.0,20.0,8.0,7.0,9.0,6.0,9.0,5.0,8.0,1,0
148,male,24.0,26.0,Latino,Other,0,3.0,1.0,Law,30.0,10.0,20.0,10.0,10.0,20.0,7.0,9.0,8.0,9.0,7.0,7.0,7.0,1,1
150,male,25.0,21.0,European,Asian,0,9.0,2.0,Business,50.0,0.0,30.0,10.0,0.0,10.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0,1,0
151,male,25.0,24.0,European,European,1,9.0,2.0,Business,50.0,0.0,30.0,10.0,0.0,10.0,7.0,8.0,7.0,5.0,7.0,7.0,7.0,1,0
152,male,25.0,25.0,European,European,1,9.0,2.0,Business,50.0,0.0,30.0,10.0,0.0,10.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,1,0
153,male,25.0,23.0,European,European,1,9.0,2.0,Business,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,7.0,7.0,8.0,7.0,6.0,1,0
154,male,25.0,21.0,European,European,1,9.0,2.0,Business,50.0,0.0,30.0,10.0,0.0,10.0,5.0,8.0,7.0,7.0,7.0,7.0,6.0,0,0
155,male,25.0,23.0,European,Asian,0,9.0,2.0,Business,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,8.0,7.0,6.0,1,0
156,male,25.0,22.0,European,Asian,0,9.0,2.0,Business,50.0,0.0,30.0,10.0,0.0,10.0,8.0,8.0,8.0,6.0,6.0,6.0,7.0,1,0
157,male,25.0,25.0,European,European,1,9.0,2.0,Business,50.0,0.0,30.0,10.0,0.0,10.0,8.0,7.0,7.0,7.0,8.0,7.0,7.0,1,1
158,male,25.0,26.0,European,Other,0,9.0,2.0,Business,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,7.0,8.0,7.0,7.0,6.0,1,1
160,male,30.0,21.0,European,Asian,0,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,3.0,6.0,7.0,5.0,8.0,7.0,2.0,0,0
161,male,30.0,24.0,European,European,1,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,5.0,3.0,4.0,3.0,5.0,3.0,4.0,0,0
162,male,30.0,25.0,European,European,1,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,6.0,3.0,5.0,4.0,5.0,4.0,2.0,0,0
163,male,30.0,23.0,European,European,1,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,3.0,5.0,6.0,5.0,6.0,1,0
164,male,30.0,21.0,European,European,1,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,2.0,3.0,4.0,4.0,5.0,3.0,3.0,0,0
165,male,30.0,23.0,European,Asian,0,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,5.0,6.0,8.0,4.0,5.0,4.0,3.0,0,0
166,male,30.0,22.0,European,Asian,0,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,7.0,6.0,5.0,4.0,4.0,3.0,5.0,0,0
167,male,30.0,25.0,European,European,1,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,6.0,4.0,7.0,5.0,6.0,4.0,4.0,0,0
168,male,30.0,26.0,European,Other,0,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,8.0,6.0,7.0,8.0,6.0,5.0,8.0,1,1
169,male,30.0,26.0,European,European,1,1.0,1.0,political science,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,4.0,3.0,4.0,4.0,3.0,0,0
170,male,27.0,21.0,European,Asian,0,8.0,8.0,Business,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,5.0,6.0,8.0,6.0,7.0,0,0
171,male,27.0,24.0,European,European,1,8.0,8.0,Business,33.33,11.11,11.11,11.11,11.11,22.22,7.0,7.0,7.0,7.0,7.0,5.0,7.0,1,0
172,male,27.0,25.0,European,European,1,8.0,8.0,Business,33.33,11.11,11.11,11.11,11.11,22.22,4.0,5.0,6.0,4.0,6.0,4.0,5.0,0,0
173,male,27.0,23.0,European,European,1,8.0,8.0,Business,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,6.0,6.0,5.0,7.0,0,0
174,male,27.0,21.0,European,European,1,8.0,8.0,Business,33.33,11.11,11.11,11.11,11.11,22.22,5.0,5.0,6.0,5.0,5.0,5.0,6.0,0,0
175,male,27.0,23.0,European,Asian,0,8.0,8.0,Business,33.33,11.11,11.11,11.11,11.11,22.22,6.0,7.0,8.0,7.0,8.0,5.0,7.0,0,0
